"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 16:41:10 CST 2024","Sat Jun 01 16:41:12 CST 2024","2276","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_tieba[chrome]",""
"passed","Sat Jun 01 16:41:10 CST 2024","Sat Jun 01 16:41:13 CST 2024","2145","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-27]",""
"failed","Sat Jun 01 16:41:19 CST 2024","Sat Jun 01 16:41:19 CST 2024","282","test_case","test_title","TestMainPage","","","test_func2[chrome]",""
"failed","Sat Jun 01 16:41:10 CST 2024","Sat Jun 01 16:41:14 CST 2024","4369","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-1]",""
"passed","Sat Jun 01 16:41:10 CST 2024","Sat Jun 01 16:41:13 CST 2024","2328","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-25]",""
"passed","Sat Jun 01 16:41:12 CST 2024","Sat Jun 01 16:41:13 CST 2024","1068","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-22]",""
"passed","Sat Jun 01 16:41:14 CST 2024","Sat Jun 01 16:41:15 CST 2024","1287","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-28]",""
"passed","Sat Jun 01 16:41:15 CST 2024","Sat Jun 01 16:41:19 CST 2024","3446","test_case","test_title","TestMainPage","","","标题2","用例描述2--------------------------"
"passed","Sat Jun 01 16:41:14 CST 2024","Sat Jun 01 16:41:16 CST 2024","1532","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_search1[chrome]",""
"passed","Sat Jun 01 16:41:09 CST 2024","Sat Jun 01 16:41:11 CST 2024","2090","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-21]",""
"failed","Sat Jun 01 16:41:16 CST 2024","Sat Jun 01 16:41:17 CST 2024","1673","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-2]",""
"passed","Sat Jun 01 16:41:12 CST 2024","Sat Jun 01 16:41:15 CST 2024","2463","test_case","test_ml","","","","test_multithreading[chrome-1]",""
"passed","Sat Jun 01 16:41:12 CST 2024","Sat Jun 01 16:41:13 CST 2024","771","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-24]",""
"passed","Sat Jun 01 16:41:12 CST 2024","Sat Jun 01 16:41:14 CST 2024","2253","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_search[chrome]",""
"passed","Sat Jun 01 16:41:17 CST 2024","Sat Jun 01 16:41:19 CST 2024","2011","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait[chrome]",""
"passed","Sat Jun 01 16:41:14 CST 2024","Sat Jun 01 16:41:16 CST 2024","2536","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-29]",""
"passed","Sat Jun 01 16:41:15 CST 2024","Sat Jun 01 16:41:18 CST 2024","2614","test_case","test_title","TestMainPage","","","标题1","用例描述1-----------------------"
"passed","Sat Jun 01 16:41:13 CST 2024","Sat Jun 01 16:41:14 CST 2024","1007","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-20]",""
"passed","Sat Jun 01 16:41:14 CST 2024","Sat Jun 01 16:41:15 CST 2024","1317","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-26]",""
"passed","Sat Jun 01 16:41:09 CST 2024","Sat Jun 01 16:41:11 CST 2024","2121","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-23]",""
"failed","Sat Jun 01 16:41:13 CST 2024","Sat Jun 01 16:41:18 CST 2024","4320","test_case","test_title","TestMainPage","","","test_func4[chrome]",""
"passed","Sat Jun 01 16:41:14 CST 2024","Sat Jun 01 16:41:16 CST 2024","1681","test_case","test_title","TestMainPage","","","test_func3[chrome]",""
